epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2307,1.54237,5.18987,1.19354,0.00063,0.00833,0.00065,0.00041,1.56682,5.47637,1.18551,0,0,0.1
2,33.9434,1.56084,5.24621,1.19625,0.00061,0.00833,0.00071,0.00038,1.57623,5.4506,1.18612,2.9802e-05,2.9802e-05,0.0990298
3,45.1446,1.55067,5.24518,1.24546,0.00093,0.0125,0.00105,0.00061,1.55787,5.44319,1.16781,5.9208e-05,5.9208e-05,0.0980592
4,57.2142,1.59815,5.09334,1.20678,0.00182,0.0145,0.00167,0.00079,1.55158,5.43131,1.1584,8.8218e-05,8.8218e-05,0.0970882
5,113.802,1.66075,5.35699,1.28226,0.00166,0.01767,0.00209,0.00115,1.55362,5.37494,1.14305,0.000116832,0.000116832,0.0961168
6,139.437,1.58221,5.32195,1.23594,0.00157,0.01767,0.00234,0.00136,1.5556,5.33846,1.13062,0.00014505,0.00014505,0.0951451
7,157.291,1.65333,5.27642,1.25948,0.00173,0.02183,0.00316,0.00204,1.58115,5.31153,1.12854,0.000172872,0.000172872,0.0941729
8,216.793,1.53114,5.26371,1.21174,0.00188,0.026,0.00395,0.0023,1.57087,5.27633,1.11398,0.000200298,0.000200298,0.0932003
9,245.111,1.68817,5.33585,1.2908,0.08637,0.15583,0.05266,0.03457,1.26982,12.9125,0.95289,0.000227328,0.000227328,0.0922273
10,268.216,1.44478,4.62774,1.04558,0.05722,0.12358,0.06822,0.04389,1.33963,14.3397,1.00249,0.000253962,0.000253962,0.091254
11,313.318,1.3478,4.23201,1.09979,0.30845,0.09167,0.1054,0.07619,1.19388,34.2396,0.9448,0.0002802,0.0002802,0.0902802
12,332.996,1.25958,3.31437,1.09968,0.06399,0.14833,0.08774,0.06694,1.38293,inf,1.00567,0.000306042,0.000306042,0.089306
13,353.375,1.21595,3.16535,1.03887,0.06217,0.24333,0.13892,0.10135,1.32961,nan,0.99367,0.000331488,0.000331488,0.0883315
14,407.082,1.047,3.02649,0.97737,0.08818,0.13917,0.14405,0.10211,nan,nan,nan,0.000356538,0.000356538,0.0873565
15,428.825,1.03322,3.34333,0.98131,0,0,0,0,1.74832,inf,1.28833,0.000381192,0.000381192,0.0863812
16,448.008,1.26432,3.79425,1.03014,0,0,0,0,nan,nan,nan,0.00040545,0.00040545,0.0854055
17,474.035,1.39932,2.70611,1.10642,0,0,0,0,nan,nan,nan,0.000429312,0.000429312,0.0844293
18,526.858,1.07929,2.48952,1.00522,0,0,0,0,nan,nan,nan,0.000452778,0.000452778,0.0834528
19,557.948,1.1614,2.3434,1.04271,0,0,0,0,nan,nan,nan,0.000475848,0.000475848,0.0824758
20,579.262,1.1444,2.33646,1.0206,0,0,0,0,nan,nan,nan,0.000498522,0.000498522,0.0814985
21,600.162,1.08012,2.17104,0.98328,0,0,0,0,nan,nan,nan,0.0005208,0.0005208,0.0805208
22,619.377,1.09743,2.17087,1.01262,0,0,0,0,nan,nan,nan,0.000542682,0.000542682,0.0795427
23,639.691,1.20033,1.88416,0.96326,0,0,0,0,nan,nan,nan,0.000564168,0.000564168,0.0785642
24,675.985,1.04459,1.96314,0.9931,0,0,0,0,nan,nan,nan,0.000585258,0.000585258,0.0775853
25,843.319,1.01882,1.50335,0.94872,0,0,0,0,nan,nan,nan,0.000605952,0.000605952,0.076606
26,862.965,1.08153,1.66463,0.9659,0,0,0,0,nan,nan,nan,0.00062625,0.00062625,0.0756263
27,881.942,1.23558,1.80301,1.01177,0,0,0,0,nan,nan,nan,0.000646152,0.000646152,0.0746462
28,923.772,1.11657,1.51475,0.95971,0,0,0,0,nan,nan,nan,0.000665658,0.000665658,0.0736657
29,965.064,1.00227,1.29725,0.91832,0,0,0,0,nan,nan,nan,0.000684768,0.000684768,0.0726848
30,1001.5,1.05791,1.44743,0.99017,0,0,0,0,nan,nan,nan,0.000703482,0.000703482,0.0717035
31,1021.61,1.13634,1.36848,0.9601,0,0,0,0,nan,nan,nan,0.0007218,0.0007218,0.0707218
32,1041.72,1.08173,1.48027,0.93901,0,0,0,0,nan,nan,nan,0.000739722,0.000739722,0.0697397
33,1061.96,0.97838,1.13088,0.93361,0,0,0,0,nan,nan,nan,0.000757248,0.000757248,0.0687572
34,1082.61,0.90602,1.15619,0.91198,0,0,0,0,nan,nan,nan,0.000774378,0.000774378,0.0677744
35,1101.83,0.9111,1.21968,0.94945,0,0,0,0,nan,nan,nan,0.000791112,0.000791112,0.0667911
36,1123.02,0.95746,1.05371,0.92386,0,0,0,0,nan,nan,nan,0.00080745,0.00080745,0.0658075
37,1139.98,0.94061,1.07439,0.96841,0,0,0,0,nan,nan,nan,0.000823392,0.000823392,0.0648234
38,1159.48,0.91631,0.93287,0.89535,0,0,0,0,nan,nan,nan,0.000838938,0.000838938,0.0638389
39,1178.97,1.01494,1.16707,0.95252,0,0,0,0,nan,nan,nan,0.000854088,0.000854088,0.0628541
40,1199.31,0.8509,0.90114,0.89928,0,0,0,0,nan,nan,nan,0.000868842,0.000868842,0.0618688
41,1218.95,0.96191,1.07119,0.9159,0,0,0,0,nan,nan,nan,0.0008832,0.0008832,0.0608832
42,1237.62,0.94023,1.03457,0.96099,0,0,0,0,nan,nan,nan,0.000897162,0.000897162,0.0598972
43,1256.02,0.89758,0.87665,0.88845,0,0,0,0,nan,nan,nan,0.000910728,0.000910728,0.0589107
44,1278.34,0.93521,0.98615,0.93063,0,0,0,0,nan,nan,nan,0.000923898,0.000923898,0.0579239
45,1302.14,0.90404,1.07216,0.94368,0,0,0,0,nan,nan,nan,0.000936672,0.000936672,0.0569367
46,1321.33,0.92833,0.89973,0.92507,0,0,0,0,nan,nan,nan,0.00094905,0.00094905,0.0559491
47,1339.9,1.00376,1.02639,0.92472,0,0,0,0,nan,nan,nan,0.000961032,0.000961032,0.054961
