epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.019,3.09762,6.89418,1.4779,0.00057,0.01621,0.00052,0.00017,3.26571,6.19505,1.2247,6e-05,6e-05,0.09806
2,439.023,3.16314,7.03347,1.44816,0.0011,0.01735,0.00094,0.00028,3.27731,6.16803,1.22086,0.00014901,0.00014901,0.095149
3,633.683,3.11205,6.9594,1.44705,0.00129,0.01697,0.00116,0.00035,3.27891,6.14122,1.21557,0.000236832,0.000236832,0.0922368
4,827.115,3.0251,6.19926,1.25814,0.00228,0.02126,0.00225,0.00134,3.09317,inf,1.10229,0.000323466,0.000323466,0.0893235
5,1015.78,2.89086,4.70688,1.11054,0.00307,0.01179,0.00192,0.00061,2.835,inf,1.08286,0.000408912,0.000408912,0.0864089
6,1167.71,2.60729,3.81241,1.05265,0,0,0,0,nan,nan,nan,0.00049317,0.00049317,0.0834932
7,1347.23,2.46363,3.45009,1.02313,0,0,0,0,nan,nan,nan,0.00057624,0.00057624,0.0805762
8,1511.83,2.38394,2.97791,0.99511,0,0,0,0,nan,nan,nan,0.000658122,0.000658122,0.0776581
9,1710.1,2.35159,2.8006,0.97881,0,0,0,0,nan,nan,nan,0.000738816,0.000738816,0.0747388
10,1878.3,2.2199,2.61244,0.96315,0,0,0,0,nan,nan,nan,0.000818322,0.000818322,0.0718183
11,2065.45,2.26348,2.67451,0.96918,0,0,0,0,nan,nan,nan,0.00089664,0.00089664,0.0688966
12,2228.78,2.07182,2.30027,0.94106,0,0,0,0,nan,nan,nan,0.00097377,0.00097377,0.0659738
13,2417.97,1.99921,2.06094,0.93145,0,0,0,0,nan,nan,nan,0.00104971,0.00104971,0.0630497
14,2581.5,2.02604,2.06495,0.92541,0,0,0,0,nan,nan,nan,0.00112447,0.00112447,0.0601245
15,2778.36,1.99287,1.88814,0.90205,0,0,0,0,nan,nan,nan,0.00119803,0.00119803,0.057198
16,2942.14,2.02895,1.98115,0.93493,0,0,0,0,nan,nan,nan,0.00127041,0.00127041,0.0542704
17,3140.34,1.94471,1.74808,0.89617,0,0,0,0,nan,nan,nan,0.0013416,0.0013416,0.0513416
18,3294.15,1.87058,1.64978,0.91746,0,0,0,0,nan,nan,nan,0.0014116,0.0014116,0.0484116
19,3491.34,1.89845,1.68457,0.90664,0,0,0,0,nan,nan,nan,0.00148042,0.00148042,0.0454804
20,3660.13,1.91473,1.67778,0.91137,0,0,0,0,nan,nan,nan,0.00154804,0.00154804,0.042548
21,3876.42,1.89314,1.60905,0.90296,0,0,0,0,nan,nan,nan,0.00161448,0.00161448,0.0396145
22,4031.44,1.85952,1.53165,0.90627,0,0,0,0,nan,nan,nan,0.00167973,0.00167973,0.0366797
23,4233.46,1.8466,1.59572,0.90905,0,0,0,0,nan,nan,nan,0.00174379,0.00174379,0.0337438
24,4398.6,1.94601,1.58899,0.90373,0,0,0,0,nan,nan,nan,0.00180667,0.00180667,0.0308067
25,4572.4,1.96201,1.6876,0.91591,0,0,0,0,nan,nan,nan,0.00186835,0.00186835,0.0278684
26,4729.48,1.85171,1.53773,0.90373,0,0,0,0,nan,nan,nan,0.00192885,0.00192885,0.0249289
27,4927.07,1.90577,1.57559,0.89814,0,0,0,0,nan,nan,nan,0.00198816,0.00198816,0.0219882
28,5083.44,1.99279,1.58957,0.92069,0,0,0,0,5.03258,inf,2.19542,0.00204628,0.00204628,0.0190463
29,5259.33,1.82597,1.47098,0.89737,0.00498,0.00052,0.00261,0.00053,4.76291,6.31445,1.76097,0.00210322,0.00210322,0.0161032
30,5422.65,1.81776,1.43031,0.88161,0.03468,0.03201,0.02635,0.01236,2.6594,6.04592,1.0785,0.00215896,0.00215896,0.013159
31,5632.69,1.80164,1.4844,0.8912,0.10029,0.03651,0.06607,0.03946,2.48022,13.651,1.07276,0.00221352,0.00221352,0.0102135
32,5792.04,1.82142,1.42252,0.88696,0.00368,0.00065,0.00193,0.00068,3.16774,5.24329,1.1369,0.00226689,0.00226689,0.00726689
33,5976.64,1.7802,1.56541,0.89525,0.00815,0.00094,0.00432,0.00148,3.27336,6.37043,1.15758,0.00231907,0.00231907,0.00431907
34,6134.98,1.80502,1.51257,0.8859,0.3491,0.12058,0.11311,0.06201,2.18838,6.06993,0.9571,0.0023466,0.0023466,0.0023466
35,6307.06,1.79947,1.51024,0.90573,0.20051,0.09624,0.1001,0.06001,2.26821,11.1768,0.98158,0.0023268,0.0023268,0.0023268
36,6459.93,1.78185,1.39135,0.87621,0.24868,0.23467,0.18617,0.10568,2.15456,3.03115,0.97854,0.002307,0.002307,0.002307
37,6665.32,1.76601,1.42367,0.88249,0.40926,0.23426,0.22209,0.12428,2.10528,2.42599,0.96472,0.0022872,0.0022872,0.0022872
38,6823.27,1.72329,1.30684,0.8761,0.11274,0.12391,0.09909,0.0564,2.22361,3.84414,0.96715,0.0022674,0.0022674,0.0022674
39,6998.64,1.82652,1.36538,0.88825,0.0818,0.07479,0.06049,0.0295,2.32223,3.99848,0.96776,0.0022476,0.0022476,0.0022476
40,7157.3,1.75262,1.2918,0.87684,0.16968,0.13782,0.13712,0.07057,2.19211,3.33487,0.96405,0.0022278,0.0022278,0.0022278
41,7360.94,1.73327,1.28264,0.86872,0.18432,0.24376,0.22542,0.12346,2.10075,3.61516,0.94732,0.002208,0.002208,0.002208
42,7510.6,1.77125,1.32445,0.88019,0.21671,0.23679,0.22914,0.12883,1.98106,4.90572,0.92477,0.0021882,0.0021882,0.0021882
43,7717.65,1.79055,1.30765,0.87659,0.20209,0.24926,0.24636,0.1384,1.96809,3.5324,0.92488,0.0021684,0.0021684,0.0021684
44,7879.5,1.76699,1.35246,0.86775,0.20387,0.13342,0.16376,0.10087,1.95401,8.076,0.9283,0.0021486,0.0021486,0.0021486
45,8069.38,1.69246,1.21934,0.85787,0.31025,0.18635,0.20381,0.12335,1.93947,8.35992,0.92284,0.0021288,0.0021288,0.0021288
46,8226.06,1.63768,1.15864,0.86257,0.31302,0.24645,0.22625,0.12887,1.97572,3.77474,0.92108,0.002109,0.002109,0.002109
47,8414.75,1.66275,1.23176,0.86583,0.23014,0.3285,0.28662,0.1696,1.97225,2.77595,0.92886,0.0020892,0.0020892,0.0020892
48,8578.32,1.62428,1.08976,0.86145,0.10553,0.0269,0.06495,0.04207,2.21902,9.40417,0.98282,0.0020694,0.0020694,0.0020694
49,8776.8,1.63997,1.15818,0.86724,0.04757,0.01485,0.02905,0.01436,2.26285,10.9006,0.98677,0.0020496,0.0020496,0.0020496
50,8933.14,1.64695,1.203,0.87899,0.17331,0.40025,0.30221,0.17325,1.98877,2.34334,0.93514,0.0020298,0.0020298,0.0020298
